,id;year;hour;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;count
73,107;2012;8;4;0;0;2;9.84;12.12;87;8.9981;144
74,108;2011;5;1;0;1;1;10.66;11.365;81;22.0028;2
75,110;2011;14;4;0;1;1;20.5;24.24;45;11.0014;172
76,113;2012;3;3;0;1;1;28.7;33.335;84;0;7
77,114;2011;1;4;0;1;2;18.86;22.725;88;0;11
78,115;2011;12;1;0;1;2;8.2;12.88;86;0;55
79,116;2011;6;4;0;0;1;16.4;20.455;71;0;20
80,117;2012;0;4;0;1;2;12.3;14.395;56;19.0012;283
81,118;2011;21;4;0;1;1;14.76;16.665;57;16.9979;136
82,119;2011;23;3;0;1;1;27.88;31.82;69;15.0013;139
83,120;2011;22;2;0;1;1;26.24;31.06;33;16.9979;155
84,122;2011;18;3;0;0;1;32.8;36.365;46;19.9995;390
85,123;2012;17;2;0;1;1;25.42;31.06;43;8.9981;724
86,124;2012;20;4;1;0;3;16.4;20.455;71;15.0013;227
87,125;2012;0;4;0;1;1;10.66;12.12;48;19.0012;44
88,127;2011;1;4;0;1;1;19.68;23.485;77;11.0014;11
89,128;2011;2;4;1;0;1;13.12;14.395;57;19.0012;11
90,129;2011;11;3;1;0;2;31.16;34.85;55;6.0032;349
91,130;2011;4;3;0;1;1;24.6;29.545;73;11.0014;10
92,131;2012;4;4;0;1;1;17.22;21.21;67;11.0014;7
93,132;2012;8;4;0;0;1;12.3;15.15;56;8.9981;149
94,133;2012;1;3;0;0;1;27.06;31.06;74;15.0013;116
95,134;2011;2;3;0;1;1;25.42;30.305;69;0;13
96,135;2011;21;4;0;0;1;21.32;25;77;0;187
97,139;2011;23;3;0;1;1;30.34;32.575;37;6.0032;108
98,140;2011;17;1;0;1;1;13.94;17.425;34;6.0032;242
99,142;2012;0;3;0;1;1;28.7;32.575;65;6.0032;85
100,143;2012;18;2;0;1;1;22.96;26.515;35;35.0008;770
101,144;2012;4;3;0;1;1;27.88;31.82;65;7.0015;6
102,145;2012;21;1;0;0;1;5.74;3.79;43;43.0006;48
103,147;2012;14;4;0;1;1;18.86;22.725;38;12.998;274
104,148;2011;6;1;0;1;2;4.92;6.06;54;19.0012;26
105,149;2011;15;2;0;1;1;28.7;31.82;37;30.0026;185
106,150;2011;9;2;0;1;1;14.76;16.665;46;16.9979;165
107,152;2011;17;3;1;0;1;32.8;36.365;46;0;436
108,153;2011;12;1;0;1;1;15.58;19.695;32;22.0028;86
109,154;2012;4;1;0;1;2;16.4;20.455;87;16.9979;3
110,155;2011;19;2;0;0;2;17.22;21.21;44;12.998;144
111,156;2011;20;4;0;1;2;19.68;23.485;82;8.9981;238
112,158;2012;16;4;0;0;1;24.6;31.06;43;35.0008;659
113,159;2012;5;4;0;1;2;15.58;19.695;82;12.998;19
114,160;2011;13;4;0;1;1;22.14;25.76;49;11.0014;196
115,161;2012;8;3;1;0;1;28.7;32.575;61;7.0015;153
116,162;2011;0;1;0;1;1;12.3;13.635;70;31.0009;7
117,163;2011;20;1;0;1;2;13.12;16.665;70;7.0015;88
118,164;2012;17;3;0;1;1;32.8;34.85;31;15.0013;830
119,166;2012;9;1;0;0;1;5.74;8.335;50;7.0015;81
120,170;2011;11;4;0;0;1;13.12;16.665;57;6.0032;275
121,171;2012;18;3;0;0;2;26.24;31.06;36;19.0012;614
122,172;2011;6;1;0;1;3;5.74;10.605;93;0;22
123,173;2011;0;1;0;1;1;12.3;13.635;49;27.9993;19
124,175;2012;0;3;0;1;1;29.52;35.605;84;7.0015;53
125,176;2012;18;2;0;1;1;28.7;31.82;34;19.0012;813
126,177;2011;19;4;0;0;1;12.3;15.91;61;6.0032;175
127,178;2012;13;4;0;1;1;18.04;21.97;18;27.9993;228
128,179;2011;22;1;0;0;1;10.66;13.635;93;8.9981;45
129,180;2011;1;1;0;1;2;6.56;9.09;86;7.0015;6
130,181;2011;13;4;0;1;1;16.4;20.455;47;8.9981;207
131,182;2011;16;2;0;0;1;22.14;25.76;30;23.9994;343
132,183;2012;2;2;0;1;2;17.22;21.21;77;0;6
133,184;2012;13;4;0;1;1;13.94;16.665;46;8.9981;278
134,185;2011;0;3;0;1;1;25.42;29.545;78;6.0032;33
135,186;2012;3;4;0;0;2;12.3;15.15;81;11.0014;46
136,187;2011;19;4;0;0;3;9.84;10.605;65;22.0028;106
137,188;2011;11;1;0;1;1;8.2;11.365;29;6.0032;50
138,189;2012;17;2;1;0;1;32.8;34.85;33;26.0027;712
139,190;2012;2;3;0;1;1;28.7;33.335;74;8.9981;16
140,193;2011;1;4;0;1;1;13.94;18.18;87;0;10
141,195;2011;15;4;0;1;1;19.68;23.485;51;11.0014;187
142,198;2011;16;3;0;1;2;24.6;30.305;60;11.0014;263
143,199;2012;15;3;0;1;1;34.44;38.635;47;6.0032;292
144,200;2012;21;3;0;0;2;24.6;28.03;83;11.0014;181
145,201;2011;14;1;0;0;2;16.4;20.455;30;27.9993;161
146,202;2011;8;2;0;0;2;18.04;21.97;77;8.9981;59
147,203;2012;19;1;0;0;1;6.56;8.335;37;11.0014;110
148,204;2011;6;1;0;1;1;4.92;7.575;54;8.9981;28
149,205;2012;8;1;0;1;3;16.4;20.455;87;0;445
150,206;2012;17;2;0;1;1;26.24;30.305;23;16.9979;779
151,207;2012;14;2;0;1;1;19.68;23.485;29;26.0027;490
152,208;2011;15;1;0;1;1;11.48;13.635;52;16.9979;65
153,209;2011;8;3;0;1;1;26.24;31.06;50;23.9994;486
154,210;2011;21;3;1;0;2;27.06;29.545;94;19.9995;60
155,211;2012;1;4;0;1;1;18.04;21.97;77;6.0032;18
156,212;2012;12;1;0;0;2;10.66;12.88;81;11.0014;221
157,213;2011;2;2;0;1;1;15.58;19.695;62;7.0015;16
158,214;2011;2;3;0;0;1;26.24;30.305;69;15.0013;94
159,215;2011;2;4;0;1;1;11.48;13.635;65;15.0013;4
160,216;2011;12;2;1;0;1;21.32;25;55;19.0012;200
161,218;2011;8;4;0;1;1;9.84;14.395;81;0;385
162,219;2012;4;3;0;1;2;27.06;31.06;61;0;11
163,220;2012;13;3;0;0;1;38.54;43.94;38;16.9979;337
164,221;2012;4;4;1;0;1;16.4;20.455;76;6.0032;4
165,222;2011;12;4;0;1;1;20.5;24.24;48;6.0032;176
166,224;2011;23;2;1;0;2;14.76;17.425;81;12.998;64
167,225;2011;13;4;0;1;3;18.86;22.725;94;8.9981;58
168,226;2011;0;1;0;1;3;8.2;9.09;100;22.0028;4
169,229;2012;23;1;0;1;1;4.1;3.79;46;26.0027;18
170,230;2012;4;1;0;0;1;13.12;16.665;57;6.0032;10
171,233;2011;16;1;0;0;2;19.68;23.485;59;19.9995;204
172,234;2011;16;3;0;0;1;36.08;37.12;22;15.0013;398
173,235;2012;21;1;0;1;2;13.12;16.665;66;6.0032;122
174,236;2012;7;1;0;1;1;8.2;10.605;59;11.0014;230
175,237;2011;6;4;0;1;1;6.56;9.09;80;7.0015;64
176,238;2012;10;2;0;1;1;29.52;34.09;62;11.0014;147
177,239;2011;16;2;1;0;1;21.32;25;55;32.9975;243
178,240;2012;10;4;0;1;1;13.12;16.665;70;7.0015;164
179,241;2011;12;1;0;1;1;12.3;15.15;39;8.9981;86
180,242;2012;18;4;0;0;1;21.32;25;48;27.9993;495
181,243;2012;5;2;0;1;1;15.58;19.695;43;19.0012;29
182,246;2012;5;2;0;1;1;22.14;25.76;88;7.0015;33
183,247;2011;5;2;0;0;3;21.32;25;100;7.0015;14
184,249;2012;19;4;0;0;1;19.68;23.485;55;15.0013;341
185,253;2011;21;2;0;0;1;21.32;25;77;6.0032;127
186,255;2012;12;3;0;1;1;31.16;36.365;70;19.0012;287
187,256;2012;13;4;0;1;1;18.86;22.725;38;19.9995;299
188,258;2011;7;1;0;1;1;3.28;8.335;73;0;74
189,260;2012;16;3;0;0;1;31.16;34.09;40;7.0015;513
190,261;2012;18;2;0;1;1;28.7;32.575;54;8.9981;743
191,262;2011;20;4;0;0;1;9.02;10.605;69;16.9979;106
192,263;2011;13;2;0;1;2;22.14;25.76;68;15.0013;129
193,264;2012;21;2;0;1;1;21.32;25;77;15.0013;239
194,265;2011;8;3;0;1;1;17.22;21.21;67;15.0013;409
195,266;2012;19;4;0;1;1;14.76;17.425;46;15.0013;332
196,267;2012;6;2;0;1;1;18.86;22.725;88;7.0015;170
197,268;2011;4;2;0;1;2;22.96;26.515;68;7.0015;6
198,269;2011;6;1;0;1;2;9.02;12.88;93;6.0032;32
199,270;2012;11;4;0;0;1;17.22;21.21;35;8.9981;527
200,271;2011;5;2;0;1;1;13.94;15.91;76;15.0013;6
201,272;2012;7;2;0;1;2;24.6;28.79;78;8.9981;480
202,275;2011;11;2;0;1;1;21.32;25;45;11.0014;115
203,277;2012;6;1;0;1;1;11.48;12.88;61;26.0027;108
204,278;2011;9;3;0;0;1;28.7;32.575;54;15.0013;222
205,280;2011;11;4;0;1;1;22.14;25.76;49;0;144
206,281;2011;0;2;0;0;2;12.3;16.665;61;0;32
207,282;2011;19;4;0;1;1;22.96;26.515;60;7.0015;317
208,283;2011;21;3;0;1;2;28.7;33.335;74;12.998;211
209,284;2012;4;3;0;1;2;21.32;25;68;23.9994;10
210,286;2011;5;3;0;1;1;26.24;29.545;78;7.0015;17
211,287;2012;23;2;0;1;1;22.14;25.76;37;12.998;180
212,288;2012;10;3;0;1;1;33.62;37.12;43;15.0013;209
213,289;2011;8;2;0;0;3;20.5;24.24;94;0;88
214,291;2011;12;2;0;1;1;25.42;30.305;69;15.0013;187
215,293;2011;11;2;0;0;1;17.22;21.21;41;16.9979;243
216,294;2012;14;1;0;1;3;13.12;15.91;81;12.998;31
217,295;2011;14;1;0;1;1;27.06;31.06;39;16.9979;174
218,296;2011;1;2;0;1;1;22.96;26.515;94;8.9981;23
219,297;2011;8;2;0;1;1;23.78;27.275;53;8.9981;498
220,300;2011;17;4;0;1;2;24.6;28.79;78;16.9979;604
221,303;2011;7;3;0;1;2;22.14;25.76;83;23.9994;172
222,304;2011;5;2;0;1;1;16.4;20.455;76;6.0032;16
223,305;2011;6;3;0;1;1;24.6;27.275;88;16.9979;90
224,307;2011;18;4;0;0;1;13.94;16.665;53;8.9981;224
225,308;2012;4;3;0;1;1;25.42;29.545;73;15.0013;5
226,309;2011;10;1;0;0;1;12.3;13.635;45;22.0028;105
227,311;2012;10;3;0;1;1;31.16;35.605;62;12.998;190
228,312;2012;9;2;0;0;1;24.6;31.06;56;8.9981;222
229,313;2011;0;1;0;1;1;5.74;6.06;59;19.0012;7
230,315;2011;14;2;0;1;2;28.7;32.575;58;35.0008;158
231,316;2012;1;1;0;1;1;11.48;13.635;61;11.0014;10
232,317;2012;23;4;0;1;1;10.66;15.15;60;0;120
233,320;2012;13;3;0;1;1;34.44;39.395;49;19.0012;239
234,324;2012;9;1;0;0;1;13.12;16.665;53;8.9981;125
235,325;2011;22;4;0;1;1;12.3;15.15;52;11.0014;107
236,329;2012;10;4;0;1;1;13.12;15.15;45;19.0012;167
237,330;2011;10;4;0;0;1;14.76;18.18;66;6.0032;262
238,331;2011;23;2;0;1;1;31.16;37.12;75;12.998;116
239,333;2012;3;4;0;1;1;8.2;11.365;69;7.0015;12
240,334;2012;1;1;0;1;3;14.76;17.425;93;12.998;3
241,336;2011;11;1;0;0;1;18.86;22.725;36;30.0026;196
242,337;2011;17;1;1;0;1;8.2;9.85;51;12.998;71
243,338;2011;3;2;0;0;1;9.84;12.12;70;11.0014;9
244,339;2011;3;4;0;0;3;13.94;15.91;87;19.0012;9
245,340;2011;13;2;0;1;2;22.96;26.515;88;22.0028;172
246,341;2012;6;2;0;1;3;21.32;25;94;19.9995;65
247,342;2011;22;4;0;1;2;12.3;15.15;49;11.0014;106
248,346;2011;21;1;0;1;3;6.56;9.85;86;6.0032;20
249,347;2012;21;3;0;1;1;29.52;33.335;58;15.0013;391
250,350;2012;0;3;0;0;1;27.88;31.82;89;11.0014;187
251,351;2012;12;2;0;1;1;26.24;31.06;41;30.0026;282
252,352;2012;1;1;0;1;1;11.48;14.395;61;8.9981;14
253,353;2011;15;2;0;1;1;26.24;31.06;41;0;179
254,354;2011;6;2;0;1;2;20.5;24.24;94;0;103
255,355;2012;15;2;0;1;1;24.6;31.06;43;0;262
256,357;2011;21;3;0;1;1;28.7;32.575;48;6.0032;206
257,358;2011;20;3;0;0;1;30.34;34.85;70;19.9995;229
258,359;2012;23;3;0;1;2;28.7;32.575;65;7.0015;131
259,360;2011;16;1;0;1;1;10.66;12.88;38;11.0014;86
260,361;2011;2;3;0;0;1;18.86;22.725;82;6.0032;79
261,362;2011;22;1;0;1;1;13.94;16.665;53;12.998;73
262,363;2011;18;3;0;1;1;31.16;35.605;58;35.0008;425
263,364;2012;8;1;0;1;1;6.56;9.09;59;7.0015;501
264,365;2012;0;4;0;1;2;15.58;19.695;87;0;28
265,366;2011;10;1;0;0;1;9.02;10.605;51;19.0012;79
266,367;2011;22;2;0;1;1;15.58;19.695;62;15.0013;89
267,368;2012;1;4;0;1;2;12.3;15.15;56;11.0014;8
268,369;2012;4;3;0;0;1;26.24;30.305;69;6.0032;10
269,370;2012;4;4;0;0;2;16.4;20.455;94;7.0015;12
270,371;2012;9;4;0;1;2;12.3;15.15;81;8.9981;301
271,373;2011;10;3;0;1;1;32.8;37.12;52;26.0027;124
272,374;2011;14;3;0;0;1;31.98;37.88;66;22.0028;361
273,375;2011;21;2;0;0;1;20.5;24.24;42;12.998;83
274,376;2011;10;1;0;0;1;15.58;19.695;76;16.9979;36
275,377;2012;8;1;0;1;1;8.2;11.365;82;7.0015;499
276,378;2012;1;1;0;0;2;6.56;6.82;47;19.9995;42
277,380;2011;15;1;0;1;2;14.76;18.94;18;0;112
278,381;2011;2;4;0;1;2;21.32;25;94;8.9981;5
279,382;2012;6;2;0;1;1;24.6;31.06;46;16.9979;144
280,383;2011;2;2;0;1;1;22.96;26.515;43;15.0013;12
281,384;2012;1;4;0;0;1;22.96;26.515;83;16.9979;141
282,385;2011;21;2;0;1;1;27.06;31.06;31;12.998;248
283,387;2012;17;2;0;1;1;26.24;30.305;25;19.9995;781
284,389;2011;21;4;0;1;3;12.3;12.88;87;35.0008;6
285,390;2011;1;2;0;1;1;18.86;22.725;63;15.0013;7
286,392;2011;18;4;0;1;2;20.5;24.24;72;19.0012;441
287,393;2011;19;3;0;1;1;28.7;32.575;65;0;397
288,394;2011;1;3;0;1;1;27.88;31.82;83;8.9981;12
289,395;2011;18;4;0;1;3;18.86;22.725;88;26.0027;189
290,396;2012;18;1;0;0;1;6.56;6.06;40;31.0009;96
291,397;2012;4;4;0;1;1;9.02;12.88;69;6.0032;7
292,399;2012;6;3;0;1;2;27.88;31.82;89;7.0015;172
293,400;2012;22;3;0;0;1;29.52;34.85;79;6.0032;157
294,401;2011;16;3;1;0;1;33.62;37.12;41;0;452
295,402;2011;10;2;0;1;2;13.94;15.91;93;19.0012;31
296,403;2012;23;3;0;0;3;27.06;30.305;78;11.0014;163
297,404;2011;14;4;0;1;1;14.76;17.425;46;15.0013;137
298,405;2011;20;3;0;0;1;29.52;35.605;84;8.9981;183
299,406;2011;7;4;0;1;3;21.32;25;77;16.9979;68
300,407;2012;21;2;0;0;1;30.34;32.575;40;12.998;316
301,409;2012;12;4;0;1;2;21.32;25;48;11.0014;332
302,410;2012;6;3;0;1;2;28.7;32.575;54;0;127
303,411;2011;22;3;0;1;1;30.34;32.575;37;0;139
304,413;2012;17;4;0;1;1;13.12;15.15;53;15.0013;627
305,415;2012;18;2;0;1;3;24.6;31.06;53;12.998;782
306,416;2012;17;3;0;1;2;26.24;30.305;65;15.0013;842
307,417;2012;19;2;0;1;1;32.8;38.635;59;15.0013;514
308,418;2011;18;4;0;0;1;9.84;11.365;48;12.998;163
309,420;2012;15;4;0;1;1;18.86;22.725;44;32.9975;246
310,421;2011;22;2;0;1;1;13.12;15.15;49;19.9995;46
311,422;2011;19;3;0;1;3;25.42;29.545;73;31.0009;165
312,423;2012;20;3;0;0;2;23.78;27.275;88;6.0032;194
313,424;2012;23;4;0;1;1;18.86;22.725;88;16.9979;84
314,425;2012;22;1;0;1;1;22.96;26.515;60;6.0032;170
315,427;2011;5;3;0;0;1;23.78;27.275;73;7.0015;14
316,428;2011;5;1;0;1;2;9.02;12.88;93;6.0032;7
317,430;2012;0;1;0;1;2;17.22;21.21;94;0;11
318,433;2011;10;3;0;1;1;30.34;34.85;66;16.9979;129
319,434;2012;22;1;0;0;1;18.86;22.725;55;27.9993;66
320,435;2012;9;2;0;0;1;18.04;21.97;26;15.0013;179
321,436;2012;19;3;0;1;1;30.34;33.335;48;15.0013;633
322,437;2011;7;2;0;0;1;26.24;29.545;78;8.9981;57
323,438;2012;14;1;0;1;1;10.66;10.605;33;36.9974;129
324,439;2012;10;4;0;1;1;18.04;21.97;77;6.0032;184
325,442;2012;15;4;0;1;3;25.42;28.79;83;8.9981;209
326,444;2011;17;4;0;0;1;16.4;20.455;40;12.998;232
327,445;2011;3;1;0;1;2;6.56;11.365;69;0;2
328,447;2012;2;1;0;0;2;18.04;21.97;88;0;42
329,448;2011;7;4;0;1;1;17.22;21.21;62;12.998;302
330,449;2012;17;1;0;0;3;12.3;14.395;70;12.998;67
331,453;2011;10;4;0;1;1;10.66;12.12;41;19.0012;115
332,455;2011;19;1;0;1;1;6.56;6.06;40;31.0009;101
333,457;2012;3;2;0;1;1;18.04;21.97;30;11.0014;3
334,458;2011;13;4;0;1;2;12.3;15.91;52;7.0015;166
335,460;2011;13;4;0;0;1;16.4;20.455;37;7.0015;355
336,461;2012;19;1;0;1;3;14.76;17.425;87;12.998;174
337,462;2012;9;2;0;1;1;28.7;32.575;65;8.9981;316
338,463;2012;2;3;0;0;1;23.78;27.275;78;7.0015;93
339,466;2011;1;2;0;1;1;24.6;31.06;38;23.9994;22
340,467;2011;0;1;0;0;1;10.66;15.15;56;0;39
341,468;2011;12;2;0;1;1;21.32;25;34;23.9994;196
342,469;2011;23;2;0;0;1;27.06;31.06;74;7.0015;131
343,470;2011;10;3;0;0;1;28.7;33.335;74;8.9981;297
344,471;2012;11;2;0;1;2;31.16;34.09;48;15.0013;202
345,472;2011;0;1;0;1;1;9.02;9.85;44;23.9994;5
346,473;2012;22;4;0;1;1;18.86;22.725;55;19.9995;197
347,474;2011;10;3;0;0;1;30.34;34.09;60;15.0013;304
348,475;2011;9;4;0;0;2;12.3;15.91;75;6.0032;170
349,476;2012;13;4;0;0;1;21.32;25;39;0;651
350,477;2011;13;2;0;1;2;32.8;36.365;43;16.9979;196
351,479;2011;7;1;0;1;3;15.58;19.695;0;15.0013;37
352,480;2012;21;2;0;0;2;24.6;30.305;60;8.9981;230
353,482;2012;4;1;0;1;1;7.38;10.605;80;7.0015;2
354,483;2012;12;2;0;0;1;25.42;31.06;43;23.9994;668
355,486;2011;4;2;0;1;3;16.4;20.455;94;22.0028;3
356,488;2011;0;1;0;1;3;12.3;14.395;93;16.9979;8
357,489;2012;14;1;0;1;1;9.84;11.365;44;12.998;119
358,490;2012;12;2;0;1;3;18.86;22.725;51;7.0015;110
359,492;2011;15;3;0;1;1;31.16;36.365;70;19.0012;185
360,493;2011;18;1;0;1;1;14.76;18.18;40;7.0015;235
361,494;2012;15;4;0;1;2;16.4;20.455;54;11.0014;214
362,495;2011;11;2;0;1;1;26.24;31.06;31;22.0028;192
363,496;2012;10;1;0;1;3;17.22;21.21;77;7.0015;78
364,497;2012;13;1;0;1;1;17.22;21.21;44;15.0013;222
365,500;2012;3;2;0;1;1;18.04;21.97;58;6.0032;3
366,501;2012;5;4;0;1;2;12.3;14.395;42;15.0013;35
367,504;2012;22;3;0;1;1;29.52;33.335;51;11.0014;318
368,505;2012;1;1;0;1;2;11.48;12.88;65;23.9994;2
369,507;2011;13;2;0;0;1;24.6;31.06;35;19.0012;436
370,509;2012;15;4;0;0;1;22.96;26.515;37;15.0013;724
371,510;2012;21;1;0;0;2;18.04;21.97;67;16.9979;71
372,511;2011;1;3;0;1;1;26.24;30.305;69;11.0014;16
373,512;2012;16;1;0;1;1;22.96;26.515;37;27.9993;288
374,513;2011;10;2;0;0;1;22.96;26.515;49;19.9995;298
375,515;2012;16;1;0;0;1;8.2;8.335;34;31.0009;164
376,518;2011;2;4;0;1;1;13.12;17.425;87;0;8
377,519;2011;17;2;0;1;1;29.52;31.82;25;19.0012;558
378,521;2012;11;2;0;1;2;15.58;19.695;43;22.0028;180
379,522;2011;6;1;0;1;1;4.92;7.575;74;7.0015;36
380,525;2012;14;4;0;1;1;24.6;31.06;40;11.0014;271
381,527;2011;3;3;0;0;1;26.24;30.305;69;15.0013;47
382,530;2011;0;1;0;1;1;18.04;21.97;72;19.0012;32
383,531;2011;22;2;0;1;1;19.68;23.485;39;12.998;165
384,532;2012;23;4;0;0;1;14.76;17.425;66;15.0013;59
385,533;2012;11;2;0;0;1;22.96;26.515;73;7.0015;414
386,535;2011;19;3;0;0;2;27.06;30.305;83;12.998;183
387,536;2011;20;3;0;1;1;29.52;32.575;42;15.0013;269
388,537;2011;9;3;1;0;2;29.52;34.09;66;6.0032;238
389,538;2012;22;3;0;1;1;29.52;34.85;74;7.0015;224
390,539;2012;10;2;0;1;1;27.06;31.06;47;16.9979;249
391,540;2011;22;4;0;1;1;14.76;16.665;53;19.0012;89
392,542;2012;23;4;0;1;2;11.48;13.635;56;15.0013;79
393,543;2011;20;3;0;1;1;26.24;28.03;94;6.0032;210
394,544;2012;1;2;0;1;1;17.22;21.21;50;15.0013;9
395,545;2011;15;3;0;0;1;30.34;34.09;55;15.0013;480
396,548;2011;4;2;0;1;2;13.94;16.665;86;8.9981;1
397,549;2012;20;4;0;1;2;15.58;19.695;54;16.9979;296
398,550;2011;3;4;0;1;1;22.96;26.515;94;8.9981;7
399,551;2011;6;2;0;0;2;14.76;18.18;93;6.0032;4
400,552;2011;22;1;0;1;1;12.3;14.395;49;15.0013;55
401,553;2011;19;2;0;1;1;27.88;31.06;26;19.0012;391
402,554;2011;16;4;0;1;1;26.24;31.06;44;0;419
403,555;2011;19;3;0;1;1;31.16;34.85;55;15.0013;347
404,556;2012;7;2;0;1;2;22.96;26.515;94;12.998;418
405,557;2011;6;3;1;0;1;26.24;28.79;89;11.0014;16
406,558;2011;23;1;0;1;1;4.92;6.82;50;12.998;15
407,560;2011;13;1;0;0;1;18.86;22.725;38;26.0027;221
408,562;2012;1;3;0;0;1;24.6;29.545;73;0;109
409,563;2012;8;1;0;1;1;18.86;22.725;88;7.0015;579
410,564;2012;10;1;0;1;1;21.32;25;68;7.0015;164
411,565;2012;18;1;0;1;1;16.4;20.455;43;31.0009;410
412,566;2012;2;2;0;1;1;22.96;26.515;83;7.0015;4
413,568;2012;4;3;0;0;1;30.34;35.605;74;11.0014;16
414,571;2011;2;3;1;0;2;27.88;31.82;79;11.0014;39
